hour,day_of_week,vehicle_count,weather,is_holiday,temperature,density_pct,congestion
23,1,78,0,0,21.3,13.1,0
0,1,37,0,0,36.6,6.5,0
8,1,314,0,0,35.4,63.8,1
6,6,156,0,0,34.4,34.1,0
7,0,214,0,0,23.6,41.4,0
11,5,84,0,0,34.9,16.2,0
3,2,27,3,0,23.3,2.1,0
13,2,132,0,0,30.1,22.8,0
12,4,160,0,0,26.7,34.4,0
21,5,99,1,0,21.9,23.9,0
21,2,100,0,0,20.5,19.8,0
9,5,189,0,0,23.9,40.8,0
13,5,150,0,0,36.1,31.1,0
9,3,327,0,0,23.7,63.5,1
19,5,290,0,0,31.5,59.1,1
23,1,130,0,0,31.3,30.6,0
2,6,0,0,0,24.2,0.0,0
0,0,13,0,0,35.0,7.3,0
13,5,139,1,0,25.7,19.9,0
4,5,13,2,0,35.2,5.1,0
7,1,337,0,0,27.3,67.7,1
3,3,53,0,0,28.6,9.7,0
10,6,129,0,0,32.4,26.1,0
17,3,340,1,0,27.5,62.0,1
20,2,93,0,0,30.5,17.9,0
2,5,13,0,0,24.4,3.7,0
4,1,10,0,0,32.1,6.4,0
13,2,137,0,0,22.1,25.8,0
18,5,109,2,1,29.5,19.4,0
11,2,173,2,0,37.1,33.1,0
23,5,63,0,0,22.4,15.3,0
13,3,42,0,1,31.6,9.4,0
14,1,171,0,0,36.1,32.6,0
21,0,56,0,0,35.3,12.7,0
8,3,294,0,0,24.8,59.1,1
13,2,88,0,0,33.0,20.5,0
7,5,257,3,0,18.8,49.3,1
6,6,43,0,1,20.5,7.6,0
18,1,373,0,0,25.4,73.4,2
23,5,85,1,0,37.3,12.6,0
0,2,46,2,0,25.5,10.1,0
2,4,48,0,0,20.0,10.4,0
21,4,73,1,0,29.3,14.6,0
17,3,209,0,0,31.0,41.1,0
15,0,127,0,0,35.8,21.2,0
13,1,288,3,0,23.4,56.3,1
15,3,240,1,0,23.4,47.0,1
2,2,43,0,0,27.3,6.2,0
10,0,121,0,0,27.8,23.7,0
10,2,118,1,0,23.5,24.8,0
6,0,120,0,0,29.1,29.7,0
20,5,90,1,0,19.9,18.5,0
22,1,119,0,0,27.5,24.6,0
13,5,97,0,0,27.1,19.2,0
7,0,386,0,0,32.9,71.4,2
6,1,190,0,0,29.8,37.9,0
19,2,370,1,0,23.9,74.2,2
9,0,228,0,0,18.9,53.0,1
9,5,172,0,0,33.1,33.8,0
18,2,209,0,0,21.7,42.7,0
15,0,143,0,0,19.5,28.5,0
4,1,5,2,0,19.7,0.0,0
17,6,351,0,0,30.4,73.6,2
12,3,133,0,0,29.8,28.9,0
18,4,585,3,0,20.0,100.0,2
20,1,104,0,0,22.8,18.1,0
5,0,0,0,0,27.4,4.2,0
9,5,260,2,0,19.4,47.8,1
20,4,136,2,0,26.5,29.0,0
20,1,91,1,0,19.4,24.8,0
19,5,324,2,0,26.8,61.8,1
22,3,78,0,0,27.9,13.9,0
1,3,30,0,0,18.5,6.3,0
18,0,201,0,0,23.4,38.7,0
15,4,191,2,0,21.6,33.5,0
20,6,78,0,0,25.0,15.8,0
21,0,91,0,0,31.9,15.0,0
17,0,402,0,0,24.5,81.8,2
16,6,95,0,0,28.9,16.2,0
6,4,213,1,0,30.5,47.2,1
6,2,213,2,0,26.8,40.3,0
3,0,9,0,0,22.8,0.8,0
17,0,238,0,0,37.8,50.0,1
3,5,24,0,0,32.3,1.1,0
13,6,87,0,0,27.1,18.1,0
6,4,144,2,0,35.3,32.7,0
10,6,147,1,0,23.7,24.6,0
18,5,245,0,0,28.8,49.6,1
17,6,205,0,0,24.4,41.8,0
18,3,517,1,0,18.9,100.0,2
22,6,158,3,0,33.8,27.9,0
15,0,146,3,0,24.6,25.2,0
3,4,30,0,0,20.9,7.6,0
2,3,10,0,0,30.5,2.9,0
10,6,147,0,0,37.1,30.2,0
17,0,267,0,0,31.7,54.4,1
23,0,70,0,0,30.7,12.0,0
5,5,0,0,0,24.5,0.7,0
11,2,158,0,0,26.2,32.5,0
5,1,29,2,0,30.4,3.7,0
18,1,350,0,0,27.2,75.6,2
14,2,141,0,0,26.8,29.6,0
9,5,227,0,0,27.1,41.8,0
12,6,128,0,0,29.4,27.6,0
22,2,42,1,1,25.9,5.5,0
21,6,94,0,0,30.1,21.2,0
7,4,252,0,0,21.8,53.9,1
20,0,88,0,0,24.2,15.1,0
18,2,397,0,0,23.9,82.3,2
5,1,45,0,0,37.4,10.2,0
8,6,280,2,0,36.9,58.5,1
3,3,48,0,0,37.3,15.3,0
17,2,240,0,0,23.3,47.3,1
11,5,139,0,0,25.6,25.5,0
3,5,29,0,0,35.7,3.1,0
19,1,378,0,0,27.3,73.2,2
20,3,100,0,0,18.7,19.8,0
3,1,56,0,0,27.1,12.2,0
13,4,103,0,0,26.3,21.4,0
19,3,263,0,0,31.8,55.1,1
14,1,151,0,0,31.7,30.2,0
1,3,28,3,0,37.0,10.0,0
21,1,151,0,0,18.4,29.4,0
7,1,334,0,0,34.6,75.0,2
18,1,332,0,0,33.5,68.3,1
8,6,297,3,0,28.8,56.8,1
21,6,44,0,1,33.8,5.6,0
10,0,134,0,0,32.8,28.2,0
23,0,89,1,0,28.3,17.1,0
16,1,203,0,0,33.7,42.7,0
9,3,309,0,0,38.0,63.2,1
21,0,72,2,0,19.5,14.2,0
19,1,340,0,0,30.7,65.5,1
12,4,79,0,0,30.1,11.3,0
20,5,97,0,0,35.3,18.1,0
7,3,224,0,0,26.3,47.4,1
13,2,208,0,0,21.1,42.2,0
2,0,50,0,0,19.9,6.3,0
4,4,50,3,0,29.2,10.5,0
13,2,219,2,0,26.5,45.0,1
9,4,249,0,0,28.1,47.1,1
7,6,432,1,0,25.4,86.9,2
18,1,485,1,0,37.5,97.2,2
21,5,114,0,0,31.2,19.4,0
0,1,8,1,0,36.4,2.7,0
5,6,59,0,0,19.4,13.5,0
0,0,11,0,0,26.4,5.4,0
11,2,100,1,0,29.4,23.2,0
4,1,35,0,0,19.6,2.9,0
15,4,96,0,0,33.1,16.4,0
13,0,164,0,0,27.7,34.3,0
1,1,12,0,0,18.2,3.9,0
4,6,46,0,0,18.2,10.7,0
5,1,56,1,0,28.0,22.8,0
2,3,4,0,0,18.4,2.5,0
18,3,302,1,0,26.4,63.8,1
0,2,55,2,0,27.2,13.9,0
2,3,18,0,0,29.8,5.6,0
12,6,69,0,0,24.7,12.9,0
16,5,107,0,0,36.1,23.7,0
23,6,61,0,0,20.1,9.9,0
5,4,83,1,0,19.5,15.9,0
15,3,273,1,0,27.0,53.1,1
20,5,65,0,0,37.4,13.2,0
14,0,138,0,0,33.9,34.5,0
11,4,125,0,0,18.8,19.4,0
2,5,36,2,0,30.3,9.3,0
14,4,194,1,0,35.9,34.0,0
20,1,65,0,0,21.0,11.6,0
3,6,18,0,0,32.3,6.9,0
1,1,48,3,0,28.5,9.8,0
11,2,184,0,0,33.5,33.6,0
1,6,33,0,0,24.6,4.5,0
9,2,239,0,0,36.1,49.8,1
2,4,54,2,0,24.2,8.6,0
4,4,42,0,0,29.2,9.0,0
4,5,18,2,0,37.9,3.7,0
20,5,55,0,0,25.3,9.0,0
10,6,73,0,0,20.8,21.0,0
3,4,3,1,0,35.7,2.5,0
19,1,396,0,0,21.6,73.1,2
5,5,20,0,0,31.5,4.6,0
19,2,338,1,0,22.7,65.6,1
15,6,124,0,0,29.4,27.4,0
9,6,231,0,0,37.3,43.8,0
4,6,15,0,0,35.5,2.7,0
22,6,56,0,0,19.7,12.7,0
14,4,116,0,0,36.9,25.8,0
11,0,114,0,0,25.5,19.2,0
11,1,79,2,1,34.8,14.8,0
4,1,13,2,1,27.4,1.2,0
14,4,63,0,1,23.1,10.6,0
17,5,220,0,0,33.5,49.3,1
3,0,0,0,0,30.5,1.2,0
15,4,160,0,0,29.5,28.2,0
9,3,83,0,1,29.4,19.4,0
16,2,159,0,0,28.1,38.2,0
0,3,19,0,0,25.7,6.9,0
23,0,154,0,0,22.8,26.2,0
3,6,37,1,0,20.7,5.9,0
10,6,195,1,0,31.7,42.8,0
20,1,90,0,0,33.5,15.9,0
9,1,123,0,1,18.8,25.9,0
12,6,86,0,0,33.1,19.5,0
11,6,99,2,0,24.6,17.0,0
13,3,134,2,0,25.7,26.6,0
22,3,85,1,0,23.3,7.3,0
2,3,12,1,0,28.9,0.0,0
2,2,17,0,0,30.1,2.6,0
22,3,114,0,0,35.4,19.1,0
13,2,234,1,0,19.1,51.7,1
12,2,96,1,0,21.2,14.9,0
19,5,342,0,0,19.3,67.1,1
11,3,140,0,0,21.1,28.4,0
11,3,130,0,0,28.6,30.3,0
20,2,126,0,0,32.7,20.9,0
12,4,158,1,0,32.1,35.1,0
9,5,193,0,0,20.5,38.6,0
5,5,19,0,0,31.6,0.9,0
22,0,90,0,0,24.0,19.4,0
5,6,30,0,0,37.7,6.6,0
7,6,286,0,0,29.4,55.4,1
4,4,55,0,0,26.0,11.2,0
16,3,140,1,0,19.5,26.8,0
14,3,194,0,0,35.6,39.1,0
20,4,72,3,0,26.7,16.4,0
16,1,110,0,0,36.7,26.8,0
16,2,147,0,0,30.7,25.7,0
4,5,25,0,0,28.1,11.4,0
18,1,302,0,0,36.0,54.5,1
1,6,57,0,0,37.0,10.9,0
8,5,186,0,0,30.4,39.0,0
20,4,210,3,0,27.7,42.8,0
9,3,332,0,0,26.8,64.5,1
6,2,175,0,0,32.4,34.4,0
12,1,119,0,0,20.1,22.3,0
3,2,43,0,0,19.0,6.8,0
13,1,254,2,0,34.3,53.3,1
23,2,120,0,0,37.9,25.1,0
9,3,117,2,1,28.1,21.3,0
18,2,156,0,1,30.0,33.9,0
9,4,109,0,1,20.7,22.7,0
12,2,65,0,1,29.2,15.4,0
9,0,378,0,0,29.0,77.5,2
3,1,36,0,0,33.9,4.7,0
11,6,54,0,0,26.0,9.1,0
1,1,29,1,0,28.4,8.0,0
16,1,157,0,0,21.3,33.2,0
18,2,343,0,0,27.8,68.5,1
15,6,62,0,1,20.2,12.8,0
9,6,368,2,0,30.6,77.4,2
8,5,406,1,0,29.6,79.4,2
18,3,286,0,0,30.4,58.8,1
21,1,32,2,1,20.2,5.8,0
10,3,198,0,0,26.2,38.9,0
15,6,154,1,0,32.1,34.1,0
17,2,253,0,0,25.5,53.1,1
17,2,370,0,0,35.4,76.4,2
19,3,256,0,0,29.2,55.1,1
9,5,333,1,0,24.3,66.7,1
23,2,102,0,0,28.9,22.4,0
4,2,12,3,1,19.6,1.5,0
23,3,154,1,0,23.4,31.8,0
4,0,55,0,0,22.8,10.6,0
7,5,258,0,0,24.6,51.9,1
21,6,94,3,0,37.6,20.6,0
20,3,89,0,0,37.3,15.3,0
20,0,100,0,0,29.5,26.3,0
5,3,36,0,0,36.4,4.2,0
5,5,0,2,0,35.5,0.0,0
18,4,560,3,0,23.7,100.0,2
16,3,106,0,0,28.1,23.6,0
3,2,0,0,0,23.1,1.9,0
23,2,91,0,0,33.1,20.1,0
20,3,121,0,0,19.7,24.2,0
5,1,23,2,0,18.1,1.9,0
14,6,110,0,0,29.6,22.2,0
8,5,270,0,0,31.4,52.0,1
5,3,57,2,0,35.8,14.3,0
22,0,87,2,0,25.4,17.0,0
4,3,48,1,0,30.1,7.1,0
15,6,112,0,0,22.4,21.4,0
2,4,33,1,0,19.6,7.8,0
1,6,0,0,0,29.5,0.0,0
10,6,141,0,0,22.1,25.7,0
2,4,35,0,0,20.6,7.7,0
18,0,210,0,0,24.2,42.7,0
8,6,106,0,1,19.5,19.7,0
22,0,92,0,0,35.9,17.0,0
9,3,392,0,0,30.8,79.1,2
11,3,122,2,0,25.5,20.1,0
4,5,34,0,0,37.9,2.6,0
4,5,29,1,0,33.1,3.6,0
21,5,77,0,0,34.5,14.8,0
11,1,94,2,0,32.5,19.7,0
21,3,89,2,0,35.8,22.2,0
2,0,0,0,0,31.4,2.6,0
23,0,132,0,0,22.3,25.9,0
4,4,36,0,0,36.3,7.1,0
18,4,319,1,0,22.7,60.8,1
7,3,379,0,0,37.0,75.7,2
20,5,116,0,0,37.4,22.3,0
16,2,117,0,0,24.0,24.4,0
15,1,192,0,0,32.2,35.9,0
1,4,19,0,0,28.6,5.4,0
8,1,279,0,0,27.0,60.4,1
17,5,318,0,0,25.5,63.3,1
1,6,60,1,0,29.8,13.2,0
6,3,215,2,0,24.1,45.1,1
6,1,136,0,0,38.0,26.0,0
22,4,89,0,0,22.8,18.5,0
12,3,156,0,0,23.2,31.2,0
14,0,149,1,0,33.2,30.1,0
11,2,79,0,0,22.4,13.5,0
8,4,231,0,0,26.4,46.3,1
10,1,212,1,0,28.0,43.9,0
8,6,423,3,0,30.8,89.0,2
5,5,17,0,0,32.4,6.3,0
17,5,169,0,0,34.8,40.3,0
0,3,0,0,0,19.4,0.0,0
6,4,218,0,0,30.8,46.2,1
15,5,49,0,0,29.0,10.4,0
16,5,241,3,0,18.3,54.8,1
5,0,52,0,0,22.8,8.0,0
8,6,343,1,0,19.6,66.1,1
18,1,202,0,0,31.7,38.6,0
2,3,0,0,0,19.1,0.0,0
2,3,19,0,0,24.6,2.2,0
1,1,33,2,0,35.8,4.3,0
1,0,24,0,0,28.9,5.3,0
5,6,65,3,0,29.7,14.0,0
2,2,38,0,0,34.7,13.2,0
10,3,157,0,0,37.8,34.3,0
16,5,142,0,0,26.7,26.7,0
10,4,268,3,0,25.9,50.9,1
0,5,42,3,0,27.8,9.9,0
12,3,197,0,0,25.6,35.4,0
9,6,272,0,0,23.4,59.9,1
4,5,24,0,0,19.8,8.3,0
11,6,131,0,0,21.7,24.8,0
17,4,241,0,0,25.1,43.1,0
19,6,239,0,0,23.8,51.9,1
23,4,110,3,0,29.4,21.7,0
5,1,17,0,0,20.9,7.1,0
8,3,361,1,0,25.2,67.4,1
15,4,85,0,0,20.7,15.2,0
10,6,140,1,0,24.6,28.0,0
20,4,85,0,0,36.9,17.1,0
10,1,272,3,0,23.8,53.0,1
15,4,185,0,0,23.6,38.9,0
11,0,118,0,0,37.9,20.4,0
0,5,3,1,0,26.8,0.2,0
13,5,128,0,0,22.8,26.0,0
22,3,128,0,0,37.8,27.1,0
12,4,160,2,0,31.8,34.1,0
11,5,62,0,0,30.8,9.0,0
7,5,297,0,0,30.3,54.8,1
10,6,136,0,0,23.2,31.0,0
17,4,335,0,0,25.5,68.0,1
22,4,136,3,0,27.7,25.0,0
2,0,36,1,0,25.0,11.9,0
6,4,177,0,0,26.8,35.7,0
10,0,245,1,0,20.3,52.5,1
20,0,94,0,0,37.7,19.0,0
5,4,19,0,0,37.2,10.0,0
20,1,163,0,0,25.9,37.9,0
6,3,103,0,0,32.1,19.9,0
22,6,91,0,0,34.0,21.1,0
11,2,155,0,0,31.4,32.9,0
20,2,96,0,0,29.7,23.3,0
14,4,216,0,0,34.0,40.3,0
18,0,220,0,0,22.8,46.1,1
11,5,134,0,0,29.9,30.0,0
13,1,190,0,0,36.4,32.7,0
17,1,334,0,0,24.3,63.3,1
1,6,35,0,0,20.7,0.9,0
16,5,166,0,0,26.3,32.4,0
15,1,99,0,0,33.2,22.0,0
8,1,401,0,0,27.1,84.7,2
17,4,307,0,0,33.5,61.6,1
1,6,0,0,0,37.8,4.9,0
9,6,196,0,0,25.0,35.1,0
3,6,39,0,0,32.8,2.7,0
22,4,69,0,0,20.8,13.6,0
1,4,18,0,0,28.8,4.8,0
9,4,433,2,0,37.7,86.5,2
4,6,28,2,0,37.8,0.0,0
22,6,73,0,0,24.4,14.3,0
15,1,121,0,0,26.3,20.3,0
20,6,75,0,0,28.3,17.0,0
14,3,158,0,0,33.5,32.7,0
23,3,123,0,0,35.0,21.8,0
6,3,117,0,0,24.5,21.9,0
17,4,431,2,0,33.8,83.0,2
1,0,21,1,0,18.3,4.0,0
14,0,184,0,0,37.9,39.7,0
20,2,162,2,0,23.5,29.4,0
8,0,381,2,0,21.3,77.7,2
9,5,309,0,0,31.1,60.2,1
0,1,51,0,0,22.5,7.8,0
0,0,23,1,0,37.8,4.3,0
15,0,93,0,0,34.1,15.5,0
11,2,115,1,0,33.1,21.3,0
2,4,15,0,0,21.3,0.0,0
20,5,50,0,0,31.7,15.9,0
3,1,27,0,0,25.7,5.5,0
4,1,56,0,0,29.1,9.1,0
9,6,228,0,0,34.9,46.2,1
16,4,106,1,0,23.9,20.9,0
15,3,127,0,0,29.9,24.7,0
11,2,165,2,0,29.4,34.8,0
21,1,95,3,0,33.4,21.3,0
2,0,55,0,0,19.2,9.4,0
16,2,174,0,0,26.3,33.1,0
2,5,1,0,0,23.5,0.0,0
16,1,175,0,0,24.5,28.1,0
20,5,51,0,0,26.7,5.7,0
7,0,213,0,0,30.2,46.7,1
21,5,36,0,0,18.3,12.1,0
5,3,42,0,0,33.7,7.7,0
5,2,0,1,0,23.4,1.7,0
10,6,150,0,0,23.3,30.9,0
2,3,26,0,0,28.0,14.4,0
11,1,159,0,0,29.5,35.2,0
7,5,204,0,0,35.3,40.4,0
15,2,171,0,0,36.6,31.3,0
17,6,305,1,0,26.4,56.2,1
13,5,116,1,0,29.4,23.8,0
21,0,115,1,0,37.6,20.7,0
14,6,174,1,0,24.5,30.5,0
0,2,34,0,0,24.1,4.9,0
14,2,119,0,0,33.5,20.6,0
7,1,135,0,1,22.7,32.1,0
22,0,143,0,0,31.1,31.2,0
3,1,0,0,0,27.8,0.0,0
22,2,145,2,0,35.9,33.4,0
22,2,136,1,0,29.6,27.4,0
20,6,101,0,0,19.2,17.6,0
7,2,379,0,0,34.0,80.4,2
10,3,196,0,0,22.1,40.8,0
3,1,21,0,0,24.3,1.1,0
11,6,65,0,0,23.3,12.4,0
5,6,0,1,0,31.9,0.0,0
10,1,128,0,0,25.1,21.5,0
21,2,159,3,0,18.6,34.6,0
17,5,186,0,0,20.0,42.9,0
0,0,40,3,0,20.6,3.8,0
21,5,31,0,0,29.7,7.9,0
2,1,8,0,0,20.6,0.0,0
1,3,60,2,0,26.7,10.5,0
15,0,187,0,0,25.1,35.6,0
8,2,352,0,0,30.3,67.8,1
20,2,70,2,0,27.6,14.1,0
12,1,131,0,0,33.9,23.7,0
17,6,122,0,1,32.3,25.2,0
15,2,84,0,0,25.8,16.6,0
10,4,114,2,0,33.6,22.1,0
16,2,133,3,0,37.5,23.9,0
21,1,68,1,0,36.3,11.9,0
18,6,198,0,0,36.7,41.9,0
7,4,437,1,0,25.2,88.9,2
22,5,73,0,0,20.8,11.7,0
17,2,348,0,0,19.1,69.9,1
0,4,9,0,0,30.3,4.1,0
22,1,56,1,0,24.5,6.2,0
18,5,307,1,0,34.9,63.0,1
11,5,100,0,0,20.0,18.0,0
4,1,31,0,0,30.8,7.9,0
5,5,44,0,0,36.6,6.5,0
7,5,317,0,0,24.1,58.0,1
4,1,46,2,0,37.0,4.3,0
1,1,36,2,0,37.4,7.3,0
18,0,262,0,0,32.9,53.2,1
10,1,267,3,0,34.4,50.7,1
23,2,60,0,0,23.0,13.9,0
8,6,334,0,0,25.7,61.8,1
5,3,16,0,0,28.9,3.0,0
18,5,174,0,0,27.0,31.2,0
0,2,14,0,0,24.8,0.8,0
23,0,170,2,0,19.9,34.1,0
15,5,85,2,1,21.3,14.4,0
5,0,59,0,0,21.8,10.6,0
23,5,35,0,0,23.9,10.0,0
12,4,87,0,0,19.1,15.7,0
2,2,0,0,0,27.6,2.5,0
6,1,140,3,0,27.5,24.6,0
12,3,153,0,0,19.8,32.2,0
5,2,24,0,0,26.9,9.1,0
14,2,162,0,0,19.2,25.0,0
2,5,25,0,0,37.4,2.6,0
17,0,448,1,0,26.4,91.3,2
18,1,364,0,0,36.1,72.2,2
16,4,195,1,0,31.6,40.1,0
3,6,5,2,0,21.3,0.0,0
4,0,49,3,0,26.7,10.1,0
19,2,292,1,0,34.1,57.9,1
17,3,262,2,0,28.4,55.9,1
18,4,362,0,0,21.0,73.2,2
18,6,325,0,0,20.1,66.0,1
9,6,264,0,0,26.2,51.6,1
18,4,376,0,0,26.1,73.7,2
21,5,112,0,0,35.6,21.1,0
1,5,16,0,0,25.4,4.4,0
9,2,297,2,0,31.7,58.1,1
9,5,356,1,0,23.4,72.1,2
20,0,155,0,0,34.5,37.2,0
16,6,73,0,0,33.8,17.2,0
22,4,139,1,0,28.5,26.8,0
5,1,11,0,0,19.2,5.8,0
1,2,37,0,0,34.5,6.2,0
20,0,98,0,0,27.8,13.5,0
15,4,98,0,0,34.8,16.6,0
9,0,248,0,0,29.4,44.0,0
20,1,32,0,0,26.2,5.3,0
15,1,130,0,0,18.2,26.1,0
9,5,253,0,0,26.5,55.6,1
14,2,164,0,0,28.4,33.8,0
18,0,192,3,1,37.3,37.7,0
20,4,59,0,0,20.2,14.3,0
8,5,310,0,0,31.1,55.4,1
6,1,207,0,0,19.1,42.1,0
12,5,119,0,0,18.5,26.1,0
8,3,441,1,0,29.7,83.8,2
10,5,121,0,0,30.8,27.6,0
16,2,131,1,0,35.5,27.2,0
3,3,39,0,0,34.2,6.6,0
21,2,95,0,0,22.5,20.9,0
10,2,123,0,0,35.0,31.4,0
20,4,86,0,0,27.4,17.7,0
3,6,0,0,0,26.3,0.7,0
6,2,127,0,0,36.1,24.0,0
10,6,167,1,0,27.8,30.9,0
10,5,142,0,0,22.2,30.9,0
18,6,276,1,0,33.6,52.6,1
13,5,50,0,0,27.5,10.2,0
17,1,602,3,0,35.8,100.0,2
6,0,170,0,0,23.0,35.4,0
9,1,198,0,0,24.1,40.6,0
9,2,299,0,0,28.5,62.9,1
10,3,202,0,0,37.0,38.9,0
0,1,18,3,0,22.2,2.8,0
16,1,186,1,0,33.8,34.3,0
8,6,299,0,0,37.9,58.5,1
20,6,20,0,1,26.3,5.1,0
17,2,341,0,0,31.9,70.5,2
9,3,343,0,0,23.4,65.8,1
13,6,85,0,0,30.4,19.6,0
3,3,25,0,0,23.3,9.1,0
11,5,159,0,0,29.0,33.0,0
22,3,80,0,0,31.4,21.6,0
21,3,128,0,0,28.2,23.3,0
8,5,388,3,0,23.9,73.9,2
3,6,36,0,0,23.8,1.9,0
13,5,69,2,0,35.8,18.3,0
21,5,106,0,0,26.8,23.2,0
23,0,110,0,0,20.3,21.8,0
8,6,363,2,0,34.0,73.4,2
3,1,0,0,0,36.8,0.0,0
13,4,162,0,0,26.8,39.7,0
11,4,65,0,1,34.8,13.4,0
15,3,113,0,0,18.9,22.9,0
0,5,55,0,0,32.9,13.2,0
7,5,290,0,0,31.8,59.4,1
13,5,141,0,0,31.3,28.9,0
4,6,0,2,0,30.3,0.0,0
16,6,160,0,0,21.3,33.4,0
10,1,154,0,0,28.1,36.4,0
12,6,101,0,0,34.0,24.2,0
15,3,109,3,0,32.9,26.6,0
12,3,90,0,1,34.5,16.5,0
19,5,324,0,0,22.1,61.8,1
10,2,173,1,0,34.9,34.2,0
19,4,215,0,0,32.3,43.2,0
21,1,49,0,1,30.7,13.1,0
16,2,103,0,0,21.3,15.5,0
3,2,18,0,0,36.6,8.2,0
14,6,128,1,0,20.2,25.1,0
20,6,108,0,0,35.8,20.3,0
16,1,157,0,0,32.7,28.4,0
18,3,507,1,0,36.2,96.4,2
5,5,32,0,0,31.2,8.9,0
16,3,108,0,0,31.9,21.8,0
12,2,150,0,0,20.7,26.1,0
22,5,113,1,0,29.0,18.7,0
20,1,82,0,0,23.8,15.4,0
22,5,111,0,0,28.8,27.2,0
22,0,141,0,0,29.7,27.4,0
21,5,68,0,0,35.5,9.1,0
16,0,39,0,1,31.4,7.1,0
5,2,48,0,0,19.2,8.8,0
6,6,149,0,0,27.1,21.7,0
7,5,319,0,0,28.2,63.6,1
22,5,51,0,1,26.3,9.5,0
17,0,167,0,1,30.4,35.5,0
7,5,306,0,0,33.1,66.7,1
6,6,125,0,0,27.0,28.4,0
5,1,32,0,0,18.8,5.6,0
8,1,403,1,0,18.1,77.3,2
1,1,59,0,0,33.5,19.5,0
21,2,150,0,0,25.2,30.2,0
16,1,106,0,0,33.7,21.2,0
17,4,370,0,0,35.7,73.9,2
10,2,225,3,0,30.4,45.6,1
20,0,151,0,0,22.8,29.8,0
19,1,233,0,0,24.4,44.9,0
8,4,400,0,0,28.3,78.4,2
16,6,130,0,0,23.9,25.9,0
10,4,192,0,0,37.4,36.8,0
17,0,261,0,0,30.6,50.1,1
3,1,70,1,0,37.5,14.3,0
20,6,119,1,0,21.1,23.0,0
1,0,20,0,0,23.0,8.5,0
7,2,261,0,0,26.1,44.2,0
12,5,91,0,0,32.4,21.5,0
1,5,14,0,0,28.1,6.5,0
19,0,423,2,0,25.6,78.4,2
15,1,196,0,0,25.8,38.2,0
9,5,331,0,0,36.3,65.1,1
0,4,54,0,0,18.8,6.6,0
12,4,176,0,0,22.2,32.9,0
6,3,117,2,0,20.8,20.1,0
19,6,276,0,0,31.4,60.5,1
17,3,250,0,0,31.4,52.8,1
6,5,205,3,0,25.1,44.8,0
3,2,34,2,0,24.4,9.0,0
19,5,249,0,0,29.3,46.4,1
13,1,76,0,1,22.4,13.6,0
8,6,282,0,0,24.6,57.9,1
14,2,180,0,0,20.2,32.3,0
2,6,9,1,0,35.8,3.9,0
23,5,116,0,0,18.4,22.5,0
0,6,16,0,0,29.8,2.1,0
8,4,241,0,0,31.1,50.3,1
12,1,106,0,0,35.1,22.5,0
16,4,129,0,0,18.2,24.7,0
21,1,138,0,0,21.2,31.1,0
21,6,86,1,0,27.7,14.0,0
7,6,171,0,0,25.4,36.0,0
16,6,54,0,0,27.1,12.6,0
20,2,123,3,0,30.7,23.7,0
